YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2015-07-31,8451.65,8548.95,8448.0,8530.95
2015-08-03,8529.95,8563.95,8528.45,8538.4
2015-08-04,8550.8,8555.7,8448.25,8523.95
2015-08-05,8564.7,8591.85,8552.35,8566.5
2015-08-06,8568.1,8606.3,8551.5,8587.7
2015-08-07,8575.35,8595.95,8552.7,8571.45
2015-08-10,8566.9,8621.55,8497.8,8506.4
2015-08-11,8517.1,8530.15,8441.3,8466.65
2015-08-12,8413.3,8433.65,8337.95,8353.8
2015-08-13,8406.85,8429.5,8341.25,8381.75
2015-08-14,8400.55,8530.1,8381.2,8519.65
2015-08-17,8509.25,8530.25,8428.05,8471.3
2015-08-18,8505.75,8525.75,8433.6,8464.85
2015-08-19,8449.1,8520.45,8425.95,8495.75
2015-08-20,8465.45,8501.35,8359.75,8384.3
2015-08-21,8244.05,8322.2,8225.05,8285.1
2015-08-24,8012.45,8060.05,7769.4,7797.65
2015-08-25,7923.25,7925.4,7667.25,7907.4
2015-08-26,7807.15,7930.05,7777.1,7789.85
2015-08-27,7886.7,7963.6,7862.3,7958.15
2015-08-28,8047.1,8091.8,7961.65,7999.7
2015-08-31,7965.0,8043.6,7947.95,7970.75
2015-09-01,7905.15,7929.1,7746.5,7781.4
2015-09-02,7858.15,7862.55,7699.25,7727.65
2015-09-03,7774.0,7845.6,7754.05,7831.25
2015-09-04,7799.95,7804.9,7626.85,7655.95
2015-09-07,7692.9,7705.05,7545.9,7552.95
2015-09-08,7597.15,7720.9,7539.5,7701.85
2015-09-09,7811.1,7846.05,7764.55,7804.85
2015-09-10,7721.35,7819.85,7678.5,7819.3
2015-09-11,7830.25,7864.85,7759.9,7783.65
2015-09-14,7804.05,7879.95,7761.85,7867.85
2015-09-15,7868.45,7880.0,7799.75,7818.45
2015-09-16,7879.95,7913.9,7853.3,7888.15
2015-09-18,7969.1,8055.0,7955.85,7967.4
2015-09-21,7912.45,7987.9,7908.35,7983.4
2015-09-22,8015.35,8021.6,7787.75,7789.8
2015-09-23,7739.25,7882.9,7723.25,7856.95
2015-09-24,7838.6,7894.5,7804.1,7868.5
2015-09-28,7893.95,7893.95,7787.95,7802.45
2015-09-29,7719.55,7926.55,7691.2,7829.7
2015-09-30,7911.9,7957.7,7874.5,7947.25
2015-10-01,7996.3,8008.25,7930.65,7947.1
2015-10-05,8013.3,8128.9,8008.45,8126.4
2015-10-06,8180.95,8180.95,8096.5,8148.55
2015-10-07,8149.05,8188.9,8132.9,8182.4
2015-10-08,8191.1,8194.75,8105.85,8127.7
2015-10-09,8189.0,8232.2,8139.65,8178.0
2015-10-12,8232.55,8244.5,8128.2,8144.25
2015-10-13,8124.75,8150.25,8088.6,8128.15
2015-10-14,8103.05,8139.3,8096.35,8108.7
2015-10-15,8135.8,8190.55,8129.8,8178.75
2015-10-16,8191.25,8246.4,8147.65,8241.5
2015-10-19,8263.8,8283.05,8239.2,8271.55
2015-10-20,8282.35,8294.05,8229.2,8253.6
2015-10-21,8260.35,8294.4,8217.15,8249.1
2015-10-23,8305.55,8328.1,8280.75,8296.85
2015-10-26,8334.0,8336.3,8252.05,8254.5
2015-10-27,8228.4,8241.95,8217.05,8227.85
2015-10-28,8190.0,8209.1,8131.8,8177.2
2015-10-29,8179.6,8179.6,8098.0,8118.7
2015-10-30,8121.4,8146.1,8044.4,8056.35
2015-11-02,8058.1,8060.7,7995.6,8050.95
2015-11-03,8089.55,8100.35,8031.75,8047.9
2015-11-04,8107.7,8116.1,8027.3,8030.35
2015-11-05,8031.2,8031.2,7944.1,7947.95
2015-11-06,7956.9,8002.65,7926.15,7962.15
2015-11-09,7790.0,7937.75,7771.7,7911.35
2015-11-10,7882.5,7885.1,7772.85,7783.45
2015-11-13,7764.55,7775.1,7730.9,7761.1
2015-11-16,7733.85,7838.85,7714.15,7808.65
2015-11-17,7850.15,7860.45,7793.0,7830.35
2015-11-18,7816.65,7843.4,7725.05,7729.05
2015-11-19,7792.55,7854.9,7765.45,7844.75
2015-11-20,7842.6,7906.95,7817.8,7851.8
2015-11-23,7871.4,7877.5,7825.2,7847.55
2015-11-24,7839.75,7870.35,7812.65,7832.4
2015-11-26,7838.45,7897.1,7832.0,7892.55
2015-11-27,7902.85,7959.3,7879.45,7945.65
2015-11-30,7940.35,7966.0,7922.8,7939.5
2015-12-01,7963.05,7972.15,7934.15,7955.15
2015-12-02,7979.3,7979.3,7910.8,7924.25
2015-12-03,7903.5,7912.3,7853.3,7865.5
2015-12-04,7818.55,7821.4,7775.7,7787.7
2015-12-07,7820.15,7825.4,7746.05,7765.5
2015-12-08,7734.55,7771.25,7685.45,7690.3
2015-12-09,7701.55,7702.85,7606.9,7618.25
2015-12-10,7645.7,7691.95,7610.0,7682.55
2015-12-11,7700.1,7703.05,7575.3,7610.1
2015-12-14,7560.7,7663.95,7551.05,7659.25
2015-12-15,7660.5,7705.0,7625.1,7692.6
2015-12-16,7722.75,7776.6,7715.75,7751.65
2015-12-17,7787.55,7852.9,7737.55,7838.4
2015-12-18,7829.1,7836.15,7753.35,7763.05
2015-12-21,7745.8,7840.75,7733.45,7830.6
2015-12-22,7830.6,7846.3,7776.85,7787.25
2015-12-23,7831.85,7871.45,7826.1,7862.5
2015-12-24,7888.5,7888.5,7835.5,7863.0
2015-12-28,7865.75,7937.2,7863.0,7917.4
2015-12-29,7931.1,7942.15,7902.75,7930.3
2015-12-30,7944.75,7944.75,7889.85,7895.1
2015-12-31,7897.1,7955.55,7891.15,7939.75
2016-01-01,7938.65,7972.55,7909.8,7957.45
2016-01-04,7922.75,7937.55,7781.1,7789.15
2016-01-05,7829.8,7831.2,7763.25,7779.0
2016-01-06,7785.4,7800.95,7721.2,7733.4
2016-01-07,7674.95,7674.95,7556.6,7569.65
2016-01-08,7629.4,7634.1,7581.05,7607.15
2016-01-11,7528.4,7605.1,7494.35,7572.1
2016-01-12,7588.3,7588.3,7487.8,7510.65
2016-01-13,7564.05,7590.95,7425.8,7556.65
2016-01-14,7474.15,7604.8,7443.8,7541.0
2016-01-15,7566.1,7566.5,7427.3,7433.95
2016-01-18,7427.75,7463.65,7336.4,7351.15
2016-01-19,7390.25,7462.75,7364.15,7440.05
2016-01-20,7357.05,7470.9,7241.5,7317.0
2016-01-21,7382.4,7398.7,7250.0,7280.05
2016-01-22,7357.9,7433.4,7327.6,7422.9
2016-01-25,7475.95,7487.15,7421.2,7436.4
2016-01-27,7476.05,7477.9,7419.7,7431.35
2016-01-28,7429.05,7468.85,7409.6,7426.6
2016-01-29,7415.85,7575.65,7402.8,7559.4
2016-02-01,7589.6,7600.45,7541.25,7549.45
2016-02-02,7568.2,7576.3,7428.05,7440.7
2016-02-03,7392.5,7419.4,7350.3,7373.3
2016-02-04,7419.8,7457.05,7365.95,7412.8
2016-02-05,7420.7,7503.15,7406.65,7500.1
2016-02-08,7491.45,7512.55,7363.2,7365.05
2016-02-09,7299.7,7323.45,7275.15,7301.0
2016-02-10,7264.35,7271.85,7177.75,7220.25
2016-02-11,7203.0,7208.65,6959.95,6975.7
2016-02-12,7024.55,7034.8,6869.0,6970.55
2016-02-15,7062.05,7182.8,7056.8,7158.2
2016-02-16,7204.65,7204.65,7037.7,7044.6
2016-02-17,7059.75,7123.7,6960.65,7120.7
2016-02-18,7178.35,7215.1,7127.85,7178.5
2016-02-19,7170.6,7226.85,7145.95,7202.0
2016-02-22,7215.65,7252.4,7200.7,7232.9
2016-02-23,7240.7,7241.7,7090.7,7094.55
2016-02-24,7077.7,7090.8,7009.75,7020.45
2016-02-25,7031.15,7034.2,6961.4,6983.4
2016-02-26,7040.55,7052.9,6985.1,7035.95
2016-02-29,7053.3,7094.6,6825.8,6998.55
2016-03-01,7041.85,7235.5,7035.1,7228.55
2016-03-02,7325.5,7380.35,7308.15,7376.25
2016-03-03,7421.7,7483.95,7406.05,7473.05
2016-03-04,7505.8,7505.9,7444.1,7501.85
2016-03-08,7489.3,7527.15,7442.15,7482.0
2016-03-09,7436.3,7539.0,7424.3,7532.5
2016-03-10,7547.1,7547.1,7447.4,7481.8
2016-03-11,7484.75,7543.95,7460.6,7514.35
2016-03-14,7547.55,7583.7,7515.05,7529.6
2016-03-15,7535.95,7545.2,7452.8,7463.1
2016-03-16,7460.95,7508.0,7405.15,7502.2
2016-03-17,7558.8,7585.3,7479.4,7489.6
2016-03-18,7536.75,7613.6,7517.9,7600.6
2016-03-21,7622.3,7713.55,7617.7,7703.55
2016-03-22,7700.1,7728.2,7643.8,7713.3
2016-03-23,7718.25,7726.85,7670.6,7705.2
2016-03-28,7749.4,7749.4,7587.7,7630.45
2016-03-29,7607.4,7652.9,7582.25,7593.0
2016-03-30,7656.6,7741.95,7643.45,7737.05
2016-03-31,7730.65,7777.6,7702.0,7748.15
2016-04-01,7720.85,7740.15,7666.1,7712.75
2016-04-04,7735.0,7764.45,7704.4,7756.5
2016-04-05,7728.8,7733.55,7588.65,7592.95
2016-04-06,7638.65,7638.65,7591.75,7618.3
2016-04-07,7630.75,7630.75,7535.85,7542.15
2016-04-08,7545.95,7569.35,7526.7,7558.3
2016-04-11,7577.95,7678.8,7516.85,7664.3
2016-04-12,7672.3,7717.4,7663.35,7709.15
2016-04-13,7778.15,7864.8,7772.2,7848.1
2016-04-18,7909.95,7920.6,7842.75,7907.8
2016-04-20,7950.4,7950.4,7877.55,7919.3
2016-04-21,7958.1,7978.45,7884.1,7897.0
2016-04-22,7891.5,7923.35,7873.35,7902.55
2016-04-25,7894.6,7911.0,7827.0,7864.85
2016-04-26,7832.5,7974.5,7822.55,7955.4
2016-04-27,7944.3,7991.0,7940.55,7976.75
2016-04-28,7972.5,7992.0,7834.45,7851.05
2016-04-29,7844.35,7889.05,7788.7,7845.5
2016-05-02,7823.0,7829.8,7777.3,7807.15
2016-05-03,7826.45,7890.25,7735.15,7742.75
2016-05-04,7724.25,7749.0,7697.25,7700.35
2016-05-05,7731.95,7777.55,7706.85,7738.7
2016-05-06,7713.3,7738.9,7678.35,7734.25
2016-05-09,7757.85,7873.65,7753.55,7868.55
2016-05-10,7870.2,7896.9,7837.7,7889.9
2016-05-11,7795.75,7893.1,7780.9,7851.85
2016-05-12,7877.15,7916.05,7849.65,7905.2
2016-05-13,7877.65,7879.85,7784.2,7813.6
2016-05-16,7831.35,7873.9,7772.15,7859.3
2016-05-17,7898.3,7940.1,7879.7,7887.5
2016-05-18,7852.5,7882.05,7810.75,7872.85
2016-05-19,7876.2,7876.2,7766.8,7767.1
2016-05-20,7792.5,7812.4,7735.75,7760.0
2016-05-23,7818.2,7820.6,7722.2,7729.35
2016-05-24,7739.2,7761.55,7715.8,7759.9
2016-05-25,7813.7,7941.2,7809.3,7932.8
2016-05-26,7983.0,8083.0,7948.5,8077.95
2016-05-27,8083.95,8164.2,8077.05,8149.35
2016-05-30,8172.4,8200.0,8150.8,8172.0
2016-05-31,8213.6,8213.6,8134.3,8160.55
2016-06-01,8180.35,8215.35,8171.05,8180.2
2016-06-02,8159.8,8229.5,8154.75,8216.95
2016-06-03,8249.7,8262.0,8209.85,8212.85
2016-06-06,8230.3,8234.7,8186.05,8205.45
2016-06-07,8235.65,8294.95,8216.4,8264.6
2016-06-08,8288.3,8288.9,8252.05,8269.7
2016-06-09,8268.35,8269.95,8184.6,8200.05
2016-06-10,8184.35,8265.6,8162.85,8172.65
2016-06-13,8098.6,8125.25,8063.9,8113.0
2016-06-14,8134.95,8134.95,8069.5,8111.55
2016-06-15,8139.45,8213.2,8123.15,8199.4
2016-06-16,8176.65,8176.65,8074.45,8131.1
2016-06-17,8181.85,8195.25,8135.8,8156.05
2016-06-20,8116.85,8244.15,8107.35,8235.25
2016-06-21,8256.9,8257.25,8202.15,8208.4
2016-06-22,8215.65,8238.35,8153.25,8194.35
2016-06-23,8202.7,8285.6,8188.3,8269.45
2016-06-24,8017.5,8100.7,7927.05,8076.75
2016-06-27,8057.8,8120.65,8053.6,8092.2
