===============================================================================
Id,accdaily1,len,datetime,open,high,low,close,volume,openinterest,MovingAverage,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
257,accdaily1,257,2019-01-16 23:59:59.999989,1488.7,1503.0,1471.55,1473.95,419240.0,,MovingAverage,257,737075.9999999999,Broker,257,992638.2999999999,992638.2999999999,BuySell,257,,,Trades - Net Profit/Loss,257,,,Trades - Net Profit/Loss,257,,,DrawDown,257,1.0169354625604543,1.0169354625604543,BuySell,257,,
258,accdaily1,258,2019-01-17 23:59:59.999989,1484.0,1485.4,1450.3,1455.15,467164.0,,MovingAverage,258,737076.9999999999,Broker,258,992638.2999999999,992638.2999999999,BuySell,258,,,Trades - Net Profit/Loss,258,,,Trades - Net Profit/Loss,258,,,DrawDown,258,1.0169354625604543,1.0169354625604543,BuySell,258,,
259,accdaily1,259,2019-01-18 23:59:59.999989,1468.0,1468.0,1435.0,1439.75,335850.0,,MovingAverage,259,737077.9999999999,Broker,259,992638.2999999999,992638.2999999999,BuySell,259,,,Trades - Net Profit/Loss,259,,,Trades - Net Profit/Loss,259,,,DrawDown,259,1.0169354625604543,1.0169354625604543,BuySell,259,,
260,accdaily1,260,2019-01-21 23:59:59.999989,1444.9,1449.55,1423.85,1429.3,349933.0,,MovingAverage,260,737080.9999999999,Broker,260,1041764.8999999999,993168.7,BuySell,260,,1471.2932499999997,Trades - Net Profit/Loss,260,,,Trades - Net Profit/Loss,260,,,DrawDown,260,0.9640454849818536,1.0169354625604543,BuySell,260,,1444.9
261,accdaily1,261,2019-01-22 23:59:59.999989,1429.0,1445.5,1418.1,1436.35,293897.0,,MovingAverage,261,737081.9999999999,Broker,261,993178.8999999999,993178.8999999999,BuySell,261,1396.8284999999998,,Trades - Net Profit/Loss,261,540.6000000000031,,Trades - Net Profit/Loss,261,540.6000000000031,,DrawDown,261,0.9630283700284237,1.0169354625604543,BuySell,261,1429.0,
262,accdaily1,262,2019-01-23 23:59:59.999989,1436.35,1454.0,1425.0,1429.85,314654.0,,MovingAverage,262,737082.9999999999,Broker,262,993178.8999999999,993178.8999999999,BuySell,262,,,Trades - Net Profit/Loss,262,,,Trades - Net Profit/Loss,262,,,DrawDown,262,0.9630283700284237,1.0169354625604543,BuySell,262,,
263,accdaily1,263,2019-01-24 23:59:59.999989,1432.9,1440.0,1410.1,1419.7,343178.0,,MovingAverage,263,737083.9999999999,Broker,263,993178.8999999999,993178.8999999999,BuySell,263,,,Trades - Net Profit/Loss,263,,,Trades - Net Profit/Loss,263,,,DrawDown,263,0.9630283700284237,1.0169354625604543,BuySell,263,,
264,accdaily1,264,2019-01-25 23:59:59.999989,1427.4,1436.0,1365.3,1375.0,533516.0,,MovingAverage,264,737084.9999999999,Broker,264,993178.8999999999,993178.8999999999,BuySell,264,,,Trades - Net Profit/Loss,264,,,Trades - Net Profit/Loss,264,,,DrawDown,264,0.9630283700284237,1.0169354625604543,BuySell,264,,
265,accdaily1,265,2019-01-28 23:59:59.999989,1376.0,1378.95,1346.65,1357.25,469918.0,,MovingAverage,265,737087.9999999999,Broker,265,993178.8999999999,993178.8999999999,BuySell,265,,,Trades - Net Profit/Loss,265,,,Trades - Net Profit/Loss,265,,,DrawDown,265,0.9630283700284237,1.0169354625604543,BuySell,265,,
266,accdaily1,266,2019-01-29 23:59:59.999989,1357.2,1376.2,1347.5,1359.65,445525.0,,MovingAverage,266,737088.9999999999,Broker,266,993178.8999999999,993178.8999999999,BuySell,266,,,Trades - Net Profit/Loss,266,,,Trades - Net Profit/Loss,266,,,DrawDown,266,0.9630283700284237,1.0169354625604543,BuySell,266,,
267,accdaily1,267,2019-01-30 23:59:59.999989,1369.5,1395.0,1339.4,1386.6,572247.0,,MovingAverage,267,737089.9999999999,Broker,267,993178.8999999999,993178.8999999999,BuySell,267,,,Trades - Net Profit/Loss,267,,,Trades - Net Profit/Loss,267,,,DrawDown,267,0.9630283700284237,1.0169354625604543,BuySell,267,,
